examples,intents
Salve. Test terminato. Piu' o meno dopo quanto tempo riesco ad avere risposta del superamento o meno?,Data_correzione_test
Buongiorno vorrei sapere quanto tempo si impiega ad avere il risultato al test finale perché ho la scadenza per il completamento del corso a domani 17/04. Grazie mille.,Data_correzione_test
Buongiorno ho finito il corso la scorsa settimana e sono in attesa dell'esito del test. quando avrò la risposta? ,Data_correzione_test
Buonasera io ho concluso il corso espletato il quiz a domande aperte e vorrei sapere entro quanto tempo mi darete riscontro quindi l'esito del quiz. grazie Saluti,Data_correzione_test
scusate ho quasi finito il corso ho fatto l'ultimo test e mi dice stato del test in valutazione... quanto tempo devo aspettare? ,Data_correzione_test
se faccio l'esame oggi riesco ad avere l'attestato in giornata? Mi scusi se chiedo ma ho davvero urgenza,Data_correzione_test
Buon giorno Gentilmente sa indicarmi i tempi di valutazione del test finale? grazie,Data_correzione_test
Buonasera chiedevo quando sarà valutato il mio test finale. Grazie,Data_correzione_test
Salve gentilmente mi saprebbe dire quanto tempo viene normalmente impiegato per la valutazione del test finale a domande aperte? Grazie,Data_correzione_test
Ho terminato il test a domande aperte quando sarà possibile sapere il risultato? Grazie,Data_correzione_test
Buongiorno avrei una domanda relativa alle tempistiche del corso. Ho completato il primo modulo nella giornata di ieir è possibile sapere quando arriveranno le indicazioni per proseguire con il secondo?,Data_correzione_test
Buongiorno la correzione del test avverrà nella giornata odierna? Cordialmente ringrazio ,Data_correzione_test
Buongiorno chiedo cortesemente quando sarà disponibile l'esito del corso (domande aperte). Vi ringrazio molto . GA,Data_correzione_test
Buongiorno quando tempo richiede il risultato dell'esame finale? la correzioen intendo,Data_correzione_test
BUongiorno Sto aspettando l'esito del test,Data_correzione_test
Ho appena concluso l'ultimo test delle 4 domande aperte. Entro quanto saranno valutate le mie risposte?,Data_correzione_test
Buongiorno ho compilato il test di valutazione a domande aperte e volevo sapere le tempistiche della valutazione da parte vostra. Grazie per il riscontro ,Data_correzione_test
Buon pomeriggio Ci sono novità inerenti la valutazione ed il poter ripetere il test? Grazie e Saluti,Data_correzione_test
salve sto provando a fare un corso ma non parte ,Data_correzione_test
Buongiorno desideravo sapere se il test è completo e quando è possibile avere l'esito della valutazione in modo da scaricare l'attestato. grazie,Data_correzione_test
Buongiorno. Ho concluso il corso RLS settore commercio. Quali sono a grandi linee i tempi per la valutazione del test finale? Grazie ,Data_correzione_test
quanto tempo richiede la valutazione delle domande aperte? ,Data_correzione_test
Grazie sto attendendo l'esito del test finale a risposta aperta sa dirmi quando arriverà all'incirca? grazie,Data_correzione_test
Ciao buongiorno! Sai dirmi quanto tempo necessita per la valutazione del test finale?,Data_correzione_test
Quanto tempo per la correzione delle domande aperte?,Data_correzione_test
Salve volevo sapere se i risultati del test per l'abilitazione da steward fossero usciti,Data_correzione_test
buongiorno volevo sapere entro quanto tempo valutate il test finale del corso... ,Data_correzione_test
Buongiorno sono in attesa di una risposta al test finale a domande aperte: quando dovrebbe arrivare? grazie,Data_correzione_test
"Fatta parte ""domande aperte"" quanto tempo ci vuole per la valutazione? ",Data_correzione_test
Buongiorno avrei bisogno di sapere se riuscirò ad avere l'esito della prova finale per il giorno 2 maggio in quanto il pomeriggio dovrei iniziare il corso RSPP modulo B ,Data_correzione_test
buongiorno io avrei finito ieri il corso e inviato il test finale potrei avre risposta celere e la possibilità di scaricare l'attesto? putroppo ho una certa uergenza e se fosse possibile dovrei poter scaricare l'attesto entro oggi. grazie,Data_correzione_test
Salve volevo sapere quando sara' pronta la valutazione del corso finale?,Data_correzione_test
buongiorno volevo sapere riguardo al test in valutazione che ho effettuato circa una settimana fa se è stato processato.grazie mille ,Data_correzione_test
Sera il corso deve essere tassativamente fruito entro oggi? Oppure si può fare domani chiedo per esigenze strettamente personali.,Data_scadenza_corso
la ringrazio possibile sapere la nuova data scadenza? ,Data_scadenza_corso
Buongiorno comunico via chat perché magari la risposta è tempestiva. Sono Rossella e ho ricevuto l'invito al corso venerdì 6 aprile. Potrei sapere entro quanto sono tenuta a completarlo? Non ho ben capito se ci siano problemi nella lettura dei commenti,Data_scadenza_corso
Buongiorno la data di scadenza è il 30/04/2018. Me lo conferma? Cordiali saluti ,Data_scadenza_corso
se non sbaglio la scadenza è il 15 luglio giusto? ,Data_scadenza_corso
Buonasera chiedo se è possibile prorogare la scadenza del corso. ,Data_scadenza_corso
Buongiorno entro quando devo completare i corsi? Ho iniziato il tirocinio il giorno 2/05.,Data_scadenza_corso
scusi ma la scadenza è entro stasera?,Data_scadenza_corso
entro quando dovrò completarlo? ,Data_scadenza_corso
Sono Michele vorrei Non mi è chiaro quale sia l'effettiva data entro cui devo terminare la fruizione del corso base di sicurezza sul lavoro,Data_scadenza_corso
Mi può confermare la scadenza del corso preposti ?,Data_scadenza_corso
Buongiorno visto che il mio corso finisce domani potrò comunque completarlo domani? ,Data_scadenza_corso
Devo svolgere entrambi i corsi a cui risulto iscritta entro il 9 gennaio? ,Data_scadenza_corso
Salve bene grazie. Purtroppo non riesco a terminarlo oggi. Posso finorlo domani mattina giusto? ,Data_scadenza_corso
devo ultimarla entro oggi (oggi compreso) giusto?,Data_scadenza_corso
Buongiorno quando scade il corso? ,Data_scadenza_corso
"ho terminato il corso ma leggo ""attestato non concluso""""download non abilitato"". come faccio per avere l'attestato? grazie",Richiesta_attestato
"Buongiorno ho completato il corso (100%). La sezione ""Conclusion and final test"" rimane non disponibile non e applicabile? Come riesco a scaricare l'attestato per la conclusione? Grazie",Richiesta_attestato
Salve io ho eseguito il corso (completo di test superato) e compilato il questionario di gradimento. Per verbale e attestato devo aspettare vostra comunicazione o devo fare qualcosa io? Grazie.,Richiesta_attestato
potreste darmi una mano a scaricare l'attestato?,Richiesta_attestato
buongiorno mi può confermare che ho terminato il corso correttamente? Non so per quale motivo il sistema si blocca quando cerco di stampare il diploma ed il verbale di riepilogo del corso. Grazie ,Richiesta_attestato
"Buon pomeriggio ho appena completato il corso al 100% perchè non posso scaricare l'attestato? esce scritto ""Corso non ancora concluso"". Grazie",Richiesta_attestato
"Ho qualche problema tecnico: ho seguito tutto e portato a termine il questionario di autovaluzione ieri come percentuale di completamento ho ""100%"" ma sulla home c'è scritto ""Attestato CORSO NON ANCORA CONCLUSO Download attestato/verbale non abilitato""",Richiesta_attestato
Buonasera ho appena superato il test e completato il questionario di valutazione. Tra quanto sarà disponibile l'attestato?,Richiesta_attestato
Salve ho problemi nello scaricare l'attestato di superamento del corso in quanto se provo a cliccare non mi rimanda al documento da scaricare ma mi ricarica la pagina su cui sono ,Richiesta_attestato
non è attivo alcun link sotto la voce attestato come faccio ad avere un qualcosa che dica che ho terminato il corso?,Richiesta_attestato
"buongiorno ho completato il corso Lavoratori - Formazione generale e specifica Basso rischio Uffici e passato il test ma non posso scaricare l'attestato. la dicitura è rimasta ""corso non ancora concluso""",Richiesta_attestato
ho superato il corso perchè non posso ottenere l'attestato?,Richiesta_attestato
"Buongiorno ho concluso la parte del corso dal titolo: ""Lavoratori-formazione generale salute e sicurezza sul lavoro"" ma non riesco a fare il download dell'attestato e del verbale di aggiornamento. Potrebbe aiutarmi cortesemente? grazie. Olga ",Richiesta_attestato
Buongiorno Ho complettao il test finale ma non riesco a stampare l'attestato per la fine del corso. Come posso procedere? Grazie per l'attenzione e attendo una risposta.,Richiesta_attestato
Buongiorno ho appena terminato il corso ma non riesco a fare il download di attestato e verbale in quanto dice che non trova il file. Grazie,Richiesta_attestato
alla fine del corso viene rilasciato un attestato?,Richiesta_attestato
buongiorno scusi ma non ricevo l' attestato del corso fatto ,Richiesta_attestato
Buongiorno! Volevo chiedere un'informazione io ho concluso il corso ma non mi da disponibile l'attestato. ,Richiesta_attestato
Buongiorno ho appena concluso il corso volevo sapere se l' attestato sarà inviato via mail o se posso trovarlo in download Grazie,Richiesta_attestato
Buongiorno ho appena terminato ilcorso 3b ma non riesco a scaricare l attestato di frequenza. Valentina Faggiani,Richiesta_attestato
si sto effettuando il secondo..per quanto riguarda il primo attestato lo riceverò tramite mail?,Richiesta_attestato
buongiorno allora mi sembra di intendere che io ho completato le 4 ore di formazione ma l'attestato risulta non fruibile la domanda è cosa s deve ancora fare ?,Richiesta_attestato
BUONGIORNO non riesco a scaricare l'attestato del corso come mai?,Richiesta_attestato
"Buongiorno mi è arrivata una mail urgente in cui mi si chiede di effettuare il corso ""Formazione specifica Basso rischio Uffici"". Ho già completato il corso e superato la prova finale mesi fa. Se mi lascia una mail le allego l'attestato. Grazie ",Richiesta_attestato
SALVE NON RIESCO A SCARICARE ATTESTATO! ,Richiesta_attestato
come devo fare per il download dell'attestato?,Richiesta_attestato
Salve devo stampare io gli attestati?,Richiesta_attestato
Dove scarico l'attestato?,Richiesta_attestato
Buongiorno dove trovo l'attestato di partecipazione?,Richiesta_attestato
salve ho appena effettuato il primo corso. ho anche fatto il test volevo chiederle come potrei salvare il file del corso concluso. grazie ,Richiesta_attestato
Buongiorno dovrei aver terminato il corso ma non riesco a scaricare lìattestato. ,Richiesta_attestato
Come faccio a scaricare l'attestato?,Richiesta_attestato
buongiorno la presente per chiedere lumi sull'uscita effettiva dal corso in quanto la procedura sembra un po' macchinosa. Ho effettuato il test risposto al questionario ma non mi da ancora l'abilitazione al download finale dell'attestato...Grazie mille ,Richiesta_attestato
buongiorno notizie dell'attestato ?,Richiesta_attestato
E il tempo necessario per ricevere l'attestato? ,Richiesta_attestato
mi segnala corso non ancora concluso per il download dell'attestato ho inviato anche il questionario di gradimento cosa manca?,Richiesta_attestato
Quando sarà possibile scaricare l'attestato?Grazie,Richiesta_attestato
"Buongiorno chiedo assistenza perchè il corso risulta terminato ma non riesco ad accedere all'attestato in quanto ""in attesta di verifica della documentazione"". Potete per cortesia verificare? grazie mille",Richiesta_attestato
E' necessario stampare anche il verbale di riepilogo?,Richiesta_attestato
Buon giorno!Anche se il corso è stato prolungato fino al 31.03 non riesco finirlo ..continua a uscire il messaggio che il corso è scaduto ...cosa dovrei fare?grazie,Corso_scaduto
buongiorno dovrei ultimare il corso ma la sessione è scaduta a giugno. come devo fare? grazie mlle ,Corso_scaduto
Buonasera avevo iniziato il corso sulla sicurezza sul lavoro ma non sono riuscita a completarlo in tempo. Vorrei sapere se era possibile ricominciare il corso. La ringrazio per la disponibilità Cordiali saluti Martina Mangione,Corso_scaduto
"Mi è stato comunicato che potevo accedere al corso sino al 15/01/2018 mentre ora mi appare ""l'iscrizione a questo corso è scaduta il 31/12/2017"". come posso accedere? ",Corso_scaduto
Buongiorno è possibile riattivare il corso come da mia richiesta e/o stampare il certificato?,Corso_scaduto
Salve nn riesco a completare il corso dal mio telefono mi dice corso scaduto da ieri ma a me il termine finisce questa sera cosa devo fare per sbloccarlo e finire grazie,Corso_scaduto
Ciao Stavo svolgendo il corso ho stoppato un attimino per leggere una mail sono rientrata nel sito e mi dice corso scaduto ieri!,Corso_scaduto
Ciao purtroppo è scaduta l'iscrizione come posso sbloccarla?,Corso_scaduto
Salve stavo provando ad accedere al modulo del corso ma non riesco a proseguirlo perché mi dice che è scaduto. È possibile che ci sia un errore datosi che nella prima email la data di scadenza era fissata al 7 Maggio? ,Corso_scaduto
Buongiorno a causa della neve dei giorni scorsi non ho potuto completare il corso. posso rimediare o è irrimediabilmente scaduto? grazie ,Corso_scaduto
Buongiorno vorrei chiedere gentilmente una proroga al corso. sono all'85% ma mi è scaduto lo scorso 25/8. Grazie mille ,Corso_scaduto
Buongiorno vorrei sapere come mai nella pagina principale del corso risulta che il corso è scaduto il 06.03 quando nella mail di invito al corso la data di scadenza del corso è il 13.03 ,Corso_scaduto
Buongiorno avrei bisogno di terminare il corso ma risulta scaduto. ,Corso_scaduto
Buongiorno dovrei terminare un corso entro oggi ma non riesco a cliccare sugli argomenti sembrerebbe scaduto ,Corso_scaduto
Buongiorno purtroppo per motivi di lavoro non sono riuscito a completare il corso nel tempo prestabilito. Si può fare qualcosa per riaprirlo? Ringrazio anticipatamente per l'aiuto Saluti,Corso_scaduto
Per motivi di lavoro non sono riuscito a completare il corso in tempo. si potrebbe riattivare in modo da poterlo completare? Grazie,Corso_scaduto
Salve purtroppo a causa del rilascio di aggiornamenti importanti non ho potuto completare il corso Modello 231 Codice Etico e Codice Antibribery. E' possibile riabilitarlo in modo che possa farlo in settimana? ,Corso_scaduto
Buongiorno non ho ancora concluso il corso e la data e la data è scaduta ,Corso_scaduto
Inserire il messaggio...Ciao avrei bisogno delle info in merito al rinnovo del corso perchè scaduto posso chiedere a te? ,Corso_scaduto
ciao scusa non sono ancora riuscito a completare il corso di lavoro e sicurezza me lo puoi rinnovare ,Corso_scaduto
potete gentilmente sbloccare il corso? sarebbe da completare entro oggi ma dice che era da fare entro ieri,Corso_scaduto
Buongiorno. Le scrivo perchè il mio corso di sicurezza è scaduto ieri e non avevo finito di completarlo - è possibile richiedere accesso oggi per finirlo?,Corso_scaduto
buongiorno è possibile riattivare l'iscrizione ai corsi? ,Corso_scaduto
Salve ho ricevuto la mail con iscrizione al corso e data scadenza 27/7/2018 Come mai il corso risulta scaduto il 18/7? ,Corso_scaduto
Buongiorno Io purtroppo non sono riuscita a finire il corso di microstation.Come devo fare per riprenderlo e finirlo? Grazie ,Corso_scaduto
Buongiorno non riesco a frequentare il corso mi dice che è scaduto. come procedere? ,Corso_scaduto
Buongiorno ho iniziato il corso ieri mattina. Sempre ieri verso sera ho provato a ricollegarmi ma il sito mi dice che il corso è scaduto,Corso_scaduto
buonasera il link al corso è scaduto prima che potessi comletare i corsi ,Corso_scaduto
Buongiorno causa di un mio iniziale errore di distrazione non ricordavo che il corso sulla sicurezza scadesse ieri così ieri ho provato a completarlo ma mi è stato impossibile per un problema alla connessione nella sede del cliente. ,Corso_scaduto
Buongiorno a causa di inderogabili esigenze di progetto su cliente chiedo proroga della deadline del completamento corso in via eccezzionale,Corso_scaduto
Salve buongiorno ho inviato stamattina un messaggio perche non riesco ad accedere al corso Lavoratori - Formazione specifica Basso rischio Uffici probabilmente perchè è scaduto e purtroppo non me ne sono reso conto. Cosa posso fare? Grazie ,Corso_scaduto
"Buongiorno. Non riesco più ad accedere al corso. Vedo che il corso è in stato ""course expired on 30/9/2018). Esiste un modo per riattivasrlo ? ",Corso_scaduto
Salve purtroppo non ho potuto terminare il corso nei tempi stabili. Non so se mi può essere d'aiuto in questo senso,Corso_scaduto
sarebbe possibile riattivare il corso sulla sicurezza che è scaduto? ,Corso_scaduto
Buongiorno Sabato ultimo giorno prima della scadenza del corso volevo terminare la mezz'ora mancante ma per tutto il pomeriggio e sera il sito non era disponibile. Cosa devo fare ora che è scaduto? Ringrazio anticipatamente per la disponibilità,Corso_scaduto
corso scaduto è possibile riattivarlo?,Corso_scaduto
buongiorno il corso che stavo seguendo risulta scaduto nonostante avessi ricevuto una mail che prorogava il corso fino al 10 settembre. C'è modo di sbloccarlo per poter proseguire il corso? grazie,Corso_scaduto
 Buongiorno il programma non mi fa più accedere perchè mi dice che è scaduto il corso. Cosa devo fare?,Corso_scaduto
il mio corso è scaduto come posso fare per accedervi? ,Corso_scaduto
Ciao per un disguido mi hanno mandato il corso sulla sicurezza a basso rischio negli uffici solo ieri e dovevo finirlo entro ieri. Ho provato a sbrigarmi ma non ci sono riuscita. Quindi ora mi è scaduto. Cosa posso fare? ,Corso_scaduto
Buongiorno sono Raffaella volevo chiedere se era possibile fare il corso perché è scaduto e non riesco ad accedervi. grazie,Corso_scaduto
Buonasera avevo scritto una mail in data 2 luglio per segnalare il problema ma non ho ricevuto risposta. Volevo chiedere se è possibile riattivare il modulo di Formazione specifica Basso rischio - Uffici ,Corso_scaduto
buongiorno come posso completare il corso che risulta scaduto?,Corso_scaduto
Buongiorno stavo svolgendo il corso con scadenza 24/4 ma improvvisamente il sistema mi ha escluso dicendomi che sarebbe scaduto il 28/2 grazie.,Corso_scaduto
il mio corso risulta scaduto e' possibileprolungarlo? ,Corso_scaduto
Salve purtroppo per questioni personali e lavorative non ho potuto completare il corso ancorandomi ad un 75% di completezza del corso. è possibile ottenere una breve proroga? Mi scuso per il disagio ,Corso_scaduto
Ciao non riesco ad accedere al corso perchè è scaduto il 30 giugno e io ero in ferie ,Corso_scaduto
"Salve purtroppo non sono riuscita a terminare il corso ""Lavotatori - Formazione generale e specifica Basso rischi Uffici. Potrei avere la possibilità di terminarlo oggi? ",Corso_scaduto
salve mi stavo approcciando al corso sicurezza sul lavoro ma solo adesso mi sono accorto che questo è scaduto ieri. Nella mail che mi è stata mandata specificava chiaramente che avevo tempo fino al 19 di aprile. ,Corso_scaduto
Salve ho visto che il mio corso è scaduto il 30 Giugno..c'è un modo di estendere la scadenza? ,Corso_scaduto
Salve purtroppo non mi è stato possibile concludere il corso entro ieri vorrei concluderlo oggi ma non riesco ad accedervi,Corso_scaduto
Buongiorno scusi se la disturbo. Avrei bisogno di 15min addizionali per concludere il corso che è scaduto ieri e di cui ho completato il 91%. Come deevo procedere per richiedere la riattivazione delo stesso? Grazie mille,Corso_scaduto
salve non sono riuscita a concluedere il corso di formazione generale. è scaduto il 31/01/2018. cosa dovrei fare per completarlo?,Corso_scaduto
Salve ho un problema col corso 'Lavoratori - Formazione generale'. Lo stavo seguendo finché è comparso scritto Errore e ora mi dice L'iscrizione a questo corso è scaduta il 05/06/2018 quando in realtà devo completarlo entro il 27/06. Come posso procedere?,Corso_scaduto
ma ora risulta scaduto è possibile riattivare il corso e prolungarne la scadenza ?,Corso_scaduto
Buongiorno ho riscontrato un problema nel svolgere il corso di formazione sulla sicurezza sul lavoro come indicato da email dovrebbe scadere a ottobre invece mi risulta sul sito che é scaduto,Corso_scaduto
ciao scusa ho problemi di rete e mi dice che il corso è scaduto potresti aiutarmi?,Corso_scaduto
Salve si possono riattivare i corsi scaduti? ,Corso_scaduto
buongiorno a causa di un lutto familiare che ha causata ala mia assenza dall'azienda dal 19 al 22 dicembre non ho poturo completare il corso D.Lgs. 231/2001 - Modulo 3B - Sicurezza e Ambiente. Come posso ovviare? ,Corso_scaduto
buongiorno come posso posso completare il corso sul remote w. scaduto ieri? grazie,Corso_scaduto
buongiorno stavo effettuando il corso ma risulta già scaduto e mi sembra assurdo perchè ho la scadenza al 29.09.18 ,Corso_scaduto
Ciao buongiorno Non posso iniziare questo corso. Dice che è sospeso. ,Corso_scaduto
Sono Gianluca e durante la fruizione del corso sulla sicurezza specifica è venuta fuori la comunicazione che l'iscrizione al corso è scaduta cosa dovrei fare ? ,Corso_scaduto
"buongiorno. la scadenza del mio corso (dirigenti - sicurezza sul lavoro) è 29.07. Ho iniziato stamattina (19.07.2018) ma dalle ore 13 00 non posso più accedere poiché risulta che ""l'iscrizione a questo corso è scaduta il 18/0772018)!!!!! Capoferri",Corso_scaduto
buongiorno due giorni fa ho cominciato a fare il corso Lavoratori - Formazione generale e specifica Basso rischio Uffici purtroppo non riesco a completrlo dato che l'iscrizione è scaduta ,Corso_scaduto
"Buongiorno devo seguire il corso ""D.Lgs231/2001 - Modulo 3B - Sicurezza e Ambiente"". Non sono riuscito a completarlo entro la scadenza a causa di alcune urgenze lavorative. E' possibile sbloccarlo affinché possa seguirlo ora? Grazie mille anticipatamente.",Corso_scaduto
ho sbagliato 5 volte il test come devo fare ?,Numero_tentativi_test
scusi ma quanti sono i tentativi?,Numero_tentativi_test
Salve la contatto perché ho terminato il numero massimo di tentativi del test. Sarebbe possibile resettarlo? Grazie ,Numero_tentativi_test
e ho fallito un test troppe volte si può fare qualcosa?,Numero_tentativi_test
Buongiorno non avendo superato il test e avendo esaurito le possibilità di prova come devo fare? ,Numero_tentativi_test
Buongiorno avrei bisogno di supporto per quanto riguarda la fruizione del corso. Ho effettuato il numero massimo di tentativi del test modulo 1 non superandolo e adesso non posso proseguire con la visualizzazione dei moduli successivi. Come posso fare?,Numero_tentativi_test
Ciao senti ho fatto i 5 tentativi e non sono riuscito a passare il test del mios corso di basso rischio uffici ho presso sempre 70/100,Numero_tentativi_test
buongiorno sono la signora francesca oh superato solo 9 tesse mi sono svagliti en el testo 10 no superato come si fa per una oltra volta grazie cooperativa pazme ,Numero_tentativi_test
Buongiorno il sig. Bruno ha sbagliato il test sui principi giuridici 10 volte su 10 tentativi. Come dobbiamo comportarci?,Numero_tentativi_test
ciao è possibile resetare i tentativi ho dei problemi con le riposte ,Numero_tentativi_test
salve ho sbagliato i 5 tentativi possibili come devo fare adesso? ,Numero_tentativi_test
non riesco a fare il test della seconda sezione perchè dice che l'ho già provato 10 volte in questi casi come si procede?,Numero_tentativi_test
dopo i 10 tenataivi come faccio a rifarlo? ,Numero_tentativi_test
Ciao eseguendo il test su Incendio: misure di prevenzione e protezione ho superato il numero massimo di tentativi.Purtroppo non riesco ad andare avanti potresti gentilmente indicarmi come posso procedere? ,Numero_tentativi_test
per tentativi 5 esauriti cosa devo fare per poter proseguire? ,Numero_tentativi_test
Buongiorno ho superato il numero massimo di tentativi di un test e vorrei sapere come poter riprovare.,Numero_tentativi_test
nell'ambito dell'ultimo test ho raggiunto il numero massimo di tentativi così non mi è più possibile riprovare nè concludere il corso. Esiste una soluzione?,Numero_tentativi_test
Salve ho eseguito tutti e 5 i tentativi del test come posso fare un'altra sessione?,Numero_tentativi_test
salve ho sbagliato 5 tentativi. posso averne altri?,Numero_tentativi_test
si può interrompere poi riprendere'?,Riprendere_corso_successivamente
Si grazie. Una sola domanda: è possibile rivedere alcune slide senza riprendere la lezione dall'inizio?,Riprendere_corso_successivamente
grazie mi sono dovuto interrompere. posso proseguire in un secondo momento? ,Riprendere_corso_successivamente
Scusate ancora. avrei bisogno di un'informazione. Nel caso non dovessi riuscire a terminare il corso entro la giornata e lo dovessi riprendere domani il sistema manterrà il livello che ho raggiunto o domani dovrò ricominciare daccapo? Grazie,Riprendere_corso_successivamente
Buongiorno sono allo stato 16 su 24 della prima parte del corso... posso sospendere o poi devo ricominciare da capo? ,Riprendere_corso_successivamente
salve posso iniziare il corso e poi salvare e riprendere in un secodo momento,Riprendere_corso_successivamente
nel caso in cui devo sospendere un video nella giornata successiva riparte da dove l'ho sospeso? ,Riprendere_corso_successivamente
Buongiorno è possibile sospendere il corso e riprenderlo successivamente dal punto in cui si è interrotto?,Riprendere_corso_successivamente
buonasera ho completato il primo step ma devo interrompere.riprendo da dove ho interrotto o devo ricominciare dall'inizio?,Riprendere_corso_successivamente
Una domanda veloce visto che si proposto di aiutarmi: le sessioni si possono sospendere e poi riprendere?,Riprendere_corso_successivamente
buongiorno il corso devo farlo tutto in una volta?,Riprendere_corso_successivamente
è possibile bloccarsi a metà ad esempio degli argomenti di una sezione e poi riprendere da lì?,Riprendere_corso_successivamente
il corso si puo fare in piu fasi?,Riprendere_corso_successivamente
altra cosa.... è capitato per per problemi di linea il sistema di sia sconnesso ... e per la nota legge di Murphy non capita mai all'inizio di un videocorso bensì al minuto 27 di 28 di lezione.... occorre sempre rivedere tutto daccapo?Non c'è modo di ...,Riprendere_corso_successivamente
dato ke ho avuto alcuni problemi cn la connessione ed ora devo andare a lavoro posso effettuare il logout e riprendere domani pom?,Riprendere_corso_successivamente
buongiorno è possibile fare il corso in più giorni.. se lo inizio ora come sto facendo posso riprenderlo domani?,Riprendere_corso_successivamente
posso riprendere in un altro momento senza perdere il tempo dedicato finora al corso? Grazie,Riprendere_corso_successivamente
buongiorno il corso è possibile farlo in più giorni oppure per forza 8 ore consecutive?,Riprendere_corso_successivamente
Salve posso interrompere adesso e riprendere domani?,Riprendere_corso_successivamente
Grazie volevo sapere se e' possibile farlo in piu sessioni e sospendere la sessione a piacimento,Riprendere_corso_successivamente
posso completarlo domani?,Riprendere_corso_successivamente
Salve mi saprebbe dire se è possibile svolgere il corso sulla sicurezza frammentando le ore da seguire in differenti moment della giornaa? Grazie mille ,Riprendere_corso_successivamente
non posso riprendere dal punto dove sono arrivato?,Riprendere_corso_successivamente
GRAZIE SCADE IL 16/06. VOLEVO SAPERE SE NON RIESCO A SEGUIRLO TUTTO ADESSO POSSO FERMARMI E CONCLUDERLO IN UN SECONDO MOMENTO? GRAZIE ,Riprendere_corso_successivamente
Dovrei sospendere il corso per la pausa pranzo. E' possibile riprendere tra circa un'ora a partire dal capitolo successivo? Grazie per la collaborazione!,Riprendere_corso_successivamente
Buongiorno volevo sapere se è possibile riprendere i moduli del test in un momento successivo o deve essere completato in un'unica sessione. Grazie,Riprendere_corso_successivamente
Posso iniziare il corso ed interromperlo per poi riprenderlo anche il giorno successivo? Grazie ,Riprendere_corso_successivamente
ma posso interrompere e riprendere domani?,Riprendere_corso_successivamente
buongiorno nell'interfaccia dell'accettazione termini e condizioni la data di nascita indicata è errata (01/05/1954).,Correzione_anagrafica
Buongiorno forse non è lei a cui devo rivolgermi ma nello scaricare l'attestato ho visto che la mia data di nascita è sbagliata.... sa a chi posso rivolgermi???,Correzione_anagrafica
